genmodel_id,year,entry_price
8_14,2006.0,47942.0
8_14,2007.0,48492.0
8_14,2008.0,51595.0
8_14,2009.0,51595.0
8_14,2010.0,55030.0
8_14,2011.0,55030.0
8_14,2012.0,57050.0
8_14,2013.0,57925.0
8_14,2014.0,58075.0
8_14,2015.0,58075.0
8_14,2016.0,58075.0
8_14,2017.0,61085.0
8_14,2018.0,61085.0
8_16,2012.0,55285.0
8_16,2013.0,54560.0
8_16,2014.0,54560.0
8_16,2015.0,54560.0
8_16,2016.0,57060.0
8_16,2017.0,57060.0
8_16,2018.0,57060.0
8_18,2010.0,69695.0
8_18,2011.0,69695.0
8_18,2012.0,71055.0
8_18,2013.0,74255.0
8_18,2014.0,74255.0
8_18,2015.0,74255.0
8_18,2016.0,74255.0
8_18,2017.0,74255.0
8_18,2018.0,74255.0
8_19,2011.0,92005.0
8_19,2012.0,92005.0
8_19,2013.0,92175.0
8_19,2014.0,95175.0
8_19,2015.0,95175.0
8_19,2016.0,95175.0
8_19,2017.0,95175.0
8_19,2018.0,95175.0
8_2,2013.0,24210.0
8_2,2014.0,22070.0
8_2,2015.0,22070.0
8_2,2016.0,22300.0
8_2,2017.0,23315.0
8_2,2018.0,23315.0
8_23,2011.0,55730.0
8_23,2012.0,55730.0
8_23,2013.0,56720.0
8_23,2014.0,56715.0
8_23,2015.0,56715.0
8_23,2016.0,56720.0
8_23,2017.0,56720.0
8_23,2018.0,56720.0
8_27,2013.0,30625.0
8_27,2014.0,30625.0
8_27,2015.0,30925.0
8_27,2016.0,30925.0
8_27,2017.0,30925.0
8_27,2018.0,33015.0
8_28,2014.0,99790.0
8_28,2015.0,99790.0
8_28,2016.0,104485.0
8_28,2017.0,104605.0
8_28,2018.0,106255.0
8_28,2019.0,114880.0
8_28,2020.0,115050.0
8_35,2009.0,23150.0
8_35,2010.0,23150.0
8_35,2011.0,23150.0
8_35,2012.0,23875.0
8_35,2013.0,23875.0
8_35,2014.0,24175.0
8_35,2015.0,24175.0
8_35,2016.0,24175.0
8_35,2017.0,26685.0
8_35,2018.0,26685.0
8_36,2017.0,29780.0
8_36,2018.0,29780.0
8_37,2004.0,25972.0
8_37,2005.0,24807.0
8_37,2006.0,24807.0
8_37,2007.0,25057.0
8_37,2008.0,27665.0
8_37,2009.0,27665.0
8_37,2010.0,28480.0
8_37,2011.0,28480.0
8_37,2012.0,28405.0
8_37,2013.0,28790.0
8_37,2014.0,28790.0
8_37,2015.0,31110.0
8_37,2016.0,31110.0
8_37,2017.0,33900.0
8_37,2018.0,34590.0
8_38,2014.0,36395.0
8_38,2015.0,36695.0
8_38,2016.0,37345.0
8_38,2017.0,37435.0
8_38,2018.0,38285.0
8_39,2000.0,32820.0
8_39,2001.0,32820.0
8_39,2002.0,32960.0
8_39,2003.0,32960.0
8_39,2004.0,33770.0
8_39,2005.0,35252.0
8_39,2006.0,35987.0
8_39,2007.0,36527.0
8_39,2008.0,39645.0
8_39,2009.0,39875.0
8_39,2010.0,41445.0
8_39,2011.0,41445.0
8_39,2012.0,44555.0
8_39,2013.0,42395.0
8_39,2014.0,42395.0
8_39,2015.0,42745.0
8_39,2016.0,43545.0
8_39,2017.0,46985.0
8_39,2018.0,47885.0
8_41,2008.0,41700.0
8_41,2009.0,42090.0
8_41,2010.0,43325.0
8_41,2011.0,44800.0
8_41,2012.0,45885.0
8_41,2013.0,46700.0
8_41,2014.0,47160.0
8_41,2015.0,48830.0
8_41,2016.0,51575.0
8_41,2017.0,51575.0
8_41,2018.0,58505.0
8_41,2019.0,60940.0
8_43,1998.0,21330.0
8_43,1999.0,19815.0
8_43,2000.0,18810.0
8_43,2001.0,18810.0
8_43,2002.0,18810.0
8_45,2003.0,24070.0
8_45,2004.0,22567.0
8_45,2005.0,22567.0
8_45,2006.0,22567.0
8_45,2007.0,22757.0
8_45,2008.0,23995.0
8_45,2009.0,23582.0
8_45,2010.0,29215.0
8_45,2011.0,29215.0
8_45,2012.0,27385.0
8_45,2013.0,27385.0
8_45,2014.0,27505.0
8_45,2015.0,27505.0
8_45,2016.0,27505.0
8_45,2017.0,29455.0
